,nprocs,POSIX_OPENS,LUSTRE_STRIPE_SIZE,LUSTRE_STRIPE_WIDTH,POSIX_FILENOS,POSIX_MEM_ALIGNMENT,POSIX_FILE_ALIGNMENT,POSIX_READS,POSIX_WRITES,POSIX_SEEKS,POSIX_STATS,POSIX_BYTES_READ,POSIX_BYTES_WRITTEN,POSIX_CONSEC_READS,POSIX_CONSEC_WRITES,POSIX_SEQ_READS,POSIX_SEQ_WRITES,POSIX_RW_SWITCHES,POSIX_MEM_NOT_ALIGNED,POSIX_FILE_NOT_ALIGNED,POSIX_SIZE_READ_0_100,POSIX_SIZE_READ_100_1K,POSIX_SIZE_READ_1K_10K,POSIX_SIZE_READ_100K_1M,POSIX_SIZE_WRITE_0_100,POSIX_SIZE_WRITE_100_1K,POSIX_SIZE_WRITE_1K_10K,POSIX_SIZE_WRITE_10K_100K,POSIX_SIZE_WRITE_100K_1M,POSIX_STRIDE1_STRIDE,POSIX_STRIDE2_STRIDE,POSIX_STRIDE3_STRIDE,POSIX_STRIDE4_STRIDE,POSIX_STRIDE1_COUNT,POSIX_STRIDE2_COUNT,POSIX_STRIDE3_COUNT,POSIX_STRIDE4_COUNT,POSIX_ACCESS1_ACCESS,POSIX_ACCESS2_ACCESS,POSIX_ACCESS3_ACCESS,POSIX_ACCESS4_ACCESS,POSIX_ACCESS1_COUNT,POSIX_ACCESS2_COUNT,POSIX_ACCESS3_COUNT,POSIX_ACCESS4_COUNT,tag
nprocs,1.2962720910756869,1.2962720910756869,0.0,0.6931471805599457,0.0,0.0,0.0,1.2962720910756869,1.296272091075687,1.2962720910756869,1.2962720910756869,1.2962720910756869,1.296272091075687,1.2962720910756869,1.296272091075687,1.2962720910756869,1.296272091075687,0.7744016270889273,1.2962720910756869,1.296272091075687,1.2962720910756869,1.2712519698987772,1.2962720910756866,0.9765174818801818,1.296272091075687,1.2962720910756869,0.09803911327973201,0.3783932051396309,0.09803911327973201,0.9765174818801818,0.9765174818801818,0.9765174818801818,0.9765174818801818,0.9765174818801818,0.9765174818801818,0.9765174818801818,0.9765174818801818,1.2064775185900085,1.237422335894983,1.2962720910756869,1.2692384185437087,1.2962720910756869,1.296272091075687,1.2962720910756869,1.2962720910756869,1.2962720910756869
POSIX_OPENS,1.2962720910756866,2.0221084349291285,0.0,0.693147180559946,0.0,0.0,0.0,2.0221084349291285,2.0221084349291285,2.0221084349291285,2.0221084349291285,2.0221084349291285,2.0221084349291285,2.0221084349291285,2.0221084349291285,2.0221084349291285,2.0221084349291285,0.8942476577619046,2.00824549131793,2.0221084349291285,2.00824549131793,1.9139106520850258,1.905972404601892,0.9903804254913805,2.0221084349291285,2.0082454913179295,0.11190205689093086,0.44634421927021745,0.11190205689093086,0.9903804254913805,0.9903804254913805,0.9903804254913805,0.9903804254913805,0.9903804254913805,0.9903804254913805,0.9903804254913805,0.9903804254913805,1.627508153650406,1.5070001808773963,1.7142244086955543,1.8427614333272935,1.980519604095532,2.0082454913179295,1.925067829650736,1.9943825477067307,2.0221084349291285
LUSTRE_STRIPE_SIZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUSTRE_STRIPE_WIDTH,0.6931471805599456,0.6931471805599458,0.0,0.6931471805599458,0.0,0.0,0.0,0.6931471805599458,0.6931471805599458,0.6931471805599458,0.6931471805599458,0.6931471805599458,0.6931471805599457,0.6931471805599458,0.6931471805599458,0.6931471805599458,0.6931471805599458,0.2499884173212888,0.6931471805599458,0.6931471805599458,0.6931471805599458,0.6931471805599458,0.6931471805599458,0.6931471805599461,0.6931471805599458,0.6931471805599458,0.014067039412645282,0.0830613562029762,0.014067039412645282,0.6931471805599461,0.6931471805599461,0.6931471805599461,0.6931471805599461,0.6931471805599461,0.6931471805599461,0.6931471805599461,0.6931471805599461,0.6931471805599458,0.6931471805599456,0.6931471805599461,0.6931471805599458,0.6931471805599457,0.6931471805599458,0.6931471805599458,0.6931471805599458,0.6931471805599458
POSIX_FILENOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POSIX_MEM_ALIGNMENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POSIX_FILE_ALIGNMENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POSIX_READS,1.2962720910756866,2.0221084349291285,0.0,0.6931471805599461,0.0,0.0,0.0,2.1296140030828115,2.1296140030828115,2.0221084349291285,2.0221084349291285,2.129614003082812,2.1296140030828115,2.1296140030828115,2.1296140030828115,2.1296140030828115,2.1296140030828115,0.8942476577619046,2.101888115860414,2.1296140030828115,2.0880251722492154,1.9521015021827144,2.013477972755575,0.9903804254913806,2.1296140030828115,2.115751059471613,0.11190205689093086,0.4463442192702175,0.11190205689093086,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,1.6275081536504061,1.5070001808773963,1.7662782024044417,1.922541114258579,2.0880251722492154,2.115751059471613,2.0187104541932204,2.088025172249215,2.1296140030828115
POSIX_WRITES,1.2962720910756869,2.0221084349291285,0.0,0.6931471805599461,0.0,0.0,0.0,2.1296140030828115,2.5129449728401463,2.0221084349291285,2.0221084349291285,2.14347694669401,2.512944972840146,2.1296140030828115,2.5129449728401463,2.1296140030828115,2.5129449728401463,0.8942476577619047,2.1018881158604135,2.5129449728401463,2.088025172249215,1.952101502182714,2.0134779727555747,0.9903804254913808,2.5129449728401463,2.4852190856177483,0.11190205689093081,0.44634421927021767,0.11190205689093081,0.9903804254913808,0.9903804254913808,0.9903804254913808,0.9903804254913808,0.9903804254913808,0.9903804254913808,0.9903804254913808,0.9903804254913808,1.6275081536504055,1.5430247905535328,1.9190606224950006,2.0702020426255325,2.088025172249215,2.4852190856177483,2.3077065847176508,2.235686100616168,2.5129449728401463
POSIX_SEEKS,1.2962720910756869,2.0221084349291285,0.0,0.6931471805599458,0.0,0.0,0.0,2.0221084349291285,2.0221084349291285,2.0221084349291285,2.0221084349291285,2.022108434929129,2.022108434929128,2.0221084349291285,2.0221084349291285,2.0221084349291285,2.0221084349291285,0.8942476577619047,2.0082454913179295,2.0221084349291285,2.0082454913179295,1.9139106520850255,1.905972404601892,0.9903804254913806,2.0221084349291285,2.0082454913179295,0.11190205689093086,0.4463442192702174,0.11190205689093086,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,1.6275081536504061,1.5070001808773963,1.714224408695554,1.8427614333272935,1.980519604095532,2.0082454913179295,1.925067829650736,1.9943825477067307,2.022108434929128
POSIX_STATS,1.2962720910756866,2.022108434929128,0.0,0.693147180559946,0.0,0.0,0.0,2.0221084349291285,2.022108434929128,2.022108434929128,2.022108434929128,2.0221084349291285,2.0221084349291285,2.0221084349291285,2.022108434929128,2.0221084349291285,2.022108434929128,0.8942476577619046,2.0082454913179295,2.022108434929128,2.00824549131793,1.9139106520850258,1.905972404601892,0.9903804254913805,2.022108434929128,2.0082454913179295,0.11190205689093086,0.44634421927021745,0.11190205689093086,0.9903804254913805,0.9903804254913805,0.9903804254913805,0.9903804254913805,0.9903804254913805,0.9903804254913805,0.9903804254913805,0.9903804254913805,1.627508153650406,1.5070001808773963,1.7142244086955543,1.8427614333272935,1.980519604095532,2.0082454913179295,1.925067829650736,1.9943825477067307,2.022108434929128
POSIX_BYTES_READ,1.296272091075687,2.0221084349291285,0.0,0.6931471805599458,0.0,0.0,0.0,2.129614003082812,2.14347694669401,2.0221084349291285,2.0221084349291285,2.143476946694011,2.14347694669401,2.129614003082812,2.14347694669401,2.129614003082812,2.14347694669401,0.8942476577619047,2.101888115860414,2.14347694669401,2.088025172249215,1.9521015021827146,2.013477972755575,0.9903804254913805,2.14347694669401,2.1296140030828115,0.11190205689093084,0.4463442192702175,0.11190205689093084,0.9903804254913805,0.9903804254913805,0.9903804254913805,0.9903804254913805,0.9903804254913805,0.9903804254913805,0.9903804254913805,0.9903804254913805,1.627508153650406,1.5070001808773965,1.7662782024044417,1.936404057869778,2.088025172249215,2.1157510594716125,2.0187104541932204,2.088025172249215,2.143476946694009
POSIX_BYTES_WRITTEN,1.2962720910756869,2.0221084349291285,0.0,0.6931471805599458,0.0,0.0,0.0,2.1296140030828115,2.5129449728401463,2.0221084349291285,2.0221084349291285,2.14347694669401,2.5416531151203348,2.1296140030828115,2.5129449728401463,2.1296140030828115,2.5129449728401463,0.8942476577619047,2.1018881158604135,2.5129449728401463,2.088025172249215,1.9521015021827144,2.013477972755575,0.9903804254913806,2.5129449728401463,2.4852190856177487,0.11190205689093075,0.44634421927021756,0.11190205689093075,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,1.627508153650406,1.543024790553533,1.9190606224950009,2.085047241294522,2.0880251722492145,2.4852190856177487,2.307706584717651,2.250531299285158,2.5416531151203348
POSIX_CONSEC_READS,1.2962720910756866,2.0221084349291285,0.0,0.6931471805599461,0.0,0.0,0.0,2.1296140030828115,2.1296140030828115,2.0221084349291285,2.0221084349291285,2.129614003082812,2.1296140030828115,2.1296140030828115,2.1296140030828115,2.1296140030828115,2.1296140030828115,0.8942476577619046,2.101888115860414,2.1296140030828115,2.0880251722492154,1.9521015021827144,2.013477972755575,0.9903804254913806,2.1296140030828115,2.115751059471613,0.11190205689093086,0.4463442192702175,0.11190205689093086,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,1.6275081536504061,1.5070001808773965,1.7662782024044417,1.922541114258579,2.088025172249215,2.1157510594716125,2.0187104541932204,2.088025172249215,2.1296140030828115
POSIX_CONSEC_WRITES,1.2962720910756869,2.0221084349291285,0.0,0.6931471805599461,0.0,0.0,0.0,2.1296140030828115,2.5129449728401463,2.0221084349291285,2.0221084349291285,2.14347694669401,2.512944972840146,2.1296140030828115,2.5129449728401463,2.1296140030828115,2.5129449728401463,0.8942476577619047,2.101888115860414,2.5129449728401463,2.088025172249215,1.9521015021827142,2.013477972755575,0.9903804254913808,2.5129449728401463,2.4852190856177483,0.11190205689093081,0.44634421927021767,0.11190205689093081,0.9903804254913808,0.9903804254913808,0.9903804254913808,0.9903804254913808,0.9903804254913808,0.9903804254913808,0.9903804254913808,0.9903804254913808,1.6275081536504055,1.5430247905535328,1.9190606224950009,2.0702020426255325,2.088025172249215,2.4852190856177487,2.3077065847176508,2.235686100616168,2.5129449728401463
POSIX_SEQ_READS,1.2962720910756866,2.0221084349291285,0.0,0.6931471805599461,0.0,0.0,0.0,2.1296140030828115,2.1296140030828115,2.0221084349291285,2.0221084349291285,2.129614003082812,2.1296140030828115,2.1296140030828115,2.1296140030828115,2.1296140030828115,2.1296140030828115,0.8942476577619046,2.101888115860414,2.1296140030828115,2.0880251722492154,1.9521015021827144,2.0134779727555747,0.9903804254913806,2.1296140030828115,2.115751059471613,0.11190205689093086,0.4463442192702175,0.11190205689093086,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,1.6275081536504061,1.5070001808773965,1.7662782024044419,1.922541114258579,2.0880251722492154,2.115751059471613,2.0187104541932204,2.088025172249215,2.1296140030828115
POSIX_SEQ_WRITES,1.2962720910756869,2.0221084349291285,0.0,0.6931471805599461,0.0,0.0,0.0,2.1296140030828115,2.5129449728401463,2.0221084349291285,2.0221084349291285,2.14347694669401,2.512944972840146,2.1296140030828115,2.5129449728401463,2.1296140030828115,2.5129449728401463,0.8942476577619047,2.1018881158604135,2.5129449728401463,2.088025172249215,1.952101502182714,2.013477972755575,0.9903804254913808,2.5129449728401463,2.4852190856177483,0.11190205689093081,0.44634421927021767,0.11190205689093081,0.9903804254913808,0.9903804254913808,0.9903804254913808,0.9903804254913808,0.9903804254913808,0.9903804254913808,0.9903804254913808,0.9903804254913808,1.6275081536504052,1.5430247905535328,1.9190606224950006,2.0702020426255325,2.088025172249215,2.4852190856177483,2.307706584717651,2.235686100616168,2.5129449728401463
POSIX_RW_SWITCHES,0.7744016270889273,0.8942476577619046,0.0,0.24998841732128874,0.0,0.0,0.0,0.8942476577619047,0.8942476577619047,0.8942476577619047,0.8942476577619046,0.8942476577619047,0.8942476577619047,0.8942476577619047,0.8942476577619047,0.8942476577619047,0.8942476577619047,0.8942476577619045,0.8942476577619046,0.8942476577619047,0.8803847141507056,0.8553645929737963,0.8717542519771523,0.5472216622527236,0.8942476577619047,0.8803847141507057,0.11190205689093179,0.44634421927021706,0.11190205689093179,0.5472216622527236,0.5472216622527236,0.5472216622527236,0.5472216622527236,0.5472216622527236,0.5472216622527236,0.5472216622527236,0.5472216622527236,0.8140658025075709,0.8641060448613898,0.8751522327130604,0.8672139852299264,0.8942476577619046,0.8942476577619047,0.8942476577619046,0.8942476577619046,0.8942476577619045
POSIX_MEM_NOT_ALIGNED,1.2962720910756866,2.00824549131793,0.0,0.6931471805599458,0.0,0.0,0.0,2.101888115860414,2.1018881158604135,2.00824549131793,2.00824549131793,2.101888115860414,2.1018881158604135,2.101888115860414,2.1018881158604135,2.101888115860414,2.1018881158604135,0.8942476577619046,2.101888115860414,2.1018881158604135,2.0602992850268174,1.9382385585715154,1.9857520855331772,0.9903804254913806,2.1018881158604135,2.088025172249215,0.11190205689093088,0.44634421927021745,0.11190205689093088,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,1.627508153650406,1.5070001808773963,1.7524152587932427,1.9086781706473799,2.0602992850268174,2.0880251722492145,2.0048475105820214,2.0602992850268174,2.101888115860414
POSIX_FILE_NOT_ALIGNED,1.2962720910756869,2.0221084349291285,0.0,0.6931471805599461,0.0,0.0,0.0,2.1296140030828115,2.512944972840146,2.0221084349291285,2.0221084349291285,2.14347694669401,2.512944972840146,2.1296140030828115,2.512944972840146,2.1296140030828115,2.512944972840146,0.8942476577619047,2.101888115860414,2.512944972840146,2.088025172249215,1.9521015021827142,2.013477972755575,0.9903804254913808,2.512944972840146,2.4852190856177483,0.11190205689093081,0.4463442192702176,0.11190205689093081,0.9903804254913808,0.9903804254913808,0.9903804254913808,0.9903804254913808,0.9903804254913808,0.9903804254913808,0.9903804254913808,0.9903804254913808,1.6275081536504055,1.5430247905535328,1.9190606224950006,2.0702020426255325,2.088025172249215,2.4852190856177483,2.3077065847176508,2.235686100616168,2.5129449728401463
POSIX_SIZE_READ_0_100,1.2962720910756869,2.0082454913179295,0.0,0.6931471805599458,0.0,0.0,0.0,2.0880251722492154,2.088025172249215,2.0082454913179295,2.0082454913179295,2.0880251722492154,2.088025172249215,2.0880251722492154,2.088025172249215,2.0880251722492154,2.088025172249215,0.8803847141507056,2.0602992850268174,2.088025172249215,2.088025172249215,1.9382385585715156,1.9718891419219784,0.9765174818801817,2.088025172249215,2.088025172249215,0.09803911327973197,0.4463442192702175,0.09803911327973197,0.9765174818801817,0.9765174818801817,0.9765174818801817,0.9765174818801817,0.9765174818801817,0.9765174818801817,0.9765174818801817,0.9765174818801817,1.613645210039207,1.4931372372661973,1.738552315182044,1.8809522834249823,2.0464363414156184,2.074162228638016,1.9771216233596236,2.0464363414156184,2.088025172249215
POSIX_SIZE_READ_100_1K,1.2712519698987774,1.9139106520850258,0.0,0.693147180559946,0.0,0.0,0.0,1.9521015021827146,1.952101502182714,1.9139106520850258,1.9139106520850258,1.9521015021827142,1.952101502182714,1.9521015021827146,1.952101502182714,1.9521015021827146,1.952101502182714,0.8553645929737963,1.9382385585715156,1.952101502182714,1.9382385585715156,1.9521015021827146,1.8359654718554776,0.9765174818801818,1.952101502182714,1.9521015021827142,0.09803911327973204,0.4463442192702175,0.09803911327973204,0.9765174818801818,0.9765174818801818,0.9765174818801818,0.9765174818801818,0.9765174818801818,0.9765174818801818,0.9765174818801818,0.9765174818801818,1.574762145251099,1.4542541724780893,1.6771758446091831,1.8195758128521218,1.9105126713491178,1.938238558571515,1.8550608969043214,1.9243756149603166,1.952101502182714
POSIX_SIZE_READ_1K_10K,1.2962720910756866,1.905972404601892,0.0,0.6931471805599458,0.0,0.0,0.0,2.013477972755575,2.0134779727555747,1.905972404601892,1.905972404601892,2.013477972755575,2.013477972755575,2.013477972755575,2.0134779727555747,2.013477972755575,2.0134779727555747,0.8717542519771523,1.9857520855331776,2.0134779727555747,1.9718891419219788,1.8359654718554776,2.013477972755575,0.9903804254913806,2.0134779727555747,1.999615029144376,0.11190205689093094,0.4463442192702175,0.11190205689093094,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,1.5581934355944114,1.4376854628214017,1.6917310029108015,1.8064050839313424,1.9718891419219788,1.9996150291443762,1.9164373674771829,1.9718891419219784,2.0134779727555747
POSIX_SIZE_READ_100K_1M,0.9765174818801817,0.9903804254913806,0.0,0.6931471805599461,0.0,0.0,0.0,0.9903804254913806,0.9903804254913807,0.9903804254913806,0.9903804254913806,0.9903804254913805,0.9903804254913806,0.9903804254913806,0.9903804254913807,0.9903804254913806,0.9903804254913807,0.5472216622527235,0.9903804254913806,0.9903804254913807,0.9765174818801816,0.9765174818801816,0.9903804254913806,0.9903804254913806,0.9903804254913807,0.9765174818801817,0.11190205689093119,0.36643165752321183,0.11190205689093119,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913806,0.9903804254913807,0.9903804254913806,0.9903804254913808,0.9903804254913806,0.9903804254913806,0.9903804254913807,0.9903804254913806,0.9903804254913806,0.9903804254913808
