graph_index,tag_value,node_id,node_value
0,1.534424026978641,LUSTRE_STRIPE_SIZE,6.020600327454919
0,1.534424026978641,LUSTRE_STRIPE_WIDTH,0.3010299956639812
0,1.534424026978641,POSIX_ACCESS1_ACCESS,2.710117365111816
0,1.534424026978641,POSIX_ACCESS1_COUNT,1.1760912590556811
0,1.534424026978641,POSIX_ACCESS2_ACCESS,1.9084850188786495
0,1.534424026978641,POSIX_ACCESS2_COUNT,0.9542425094393248
0,1.534424026978641,POSIX_ACCESS3_ACCESS,2.7363965022766426
0,1.534424026978641,POSIX_ACCESS3_COUNT,0.6989700043360189
0,1.534424026978641,POSIX_ACCESS4_ACCESS,1.230448921378274
0,1.534424026978641,POSIX_ACCESS4_COUNT,0.6989700043360189
0,1.534424026978641,POSIX_BYTES_READ,6.324950672137415
0,1.534424026978641,POSIX_BYTES_WRITTEN,0.0
0,1.534424026978641,POSIX_CONSEC_READS,1.2787536009528289
0,1.534424026978641,POSIX_CONSEC_WRITES,0.0
0,1.534424026978641,POSIX_FILENOS,0.0
0,1.534424026978641,POSIX_MEM_ALIGNMENT,0.9542425094393248
0,1.534424026978641,POSIX_FILE_ALIGNMENT,6.020600327454919
0,1.534424026978641,POSIX_FILE_NOT_ALIGNED,1.591064607026499
0,1.534424026978641,POSIX_MEM_NOT_ALIGNED,0.0
0,1.534424026978641,POSIX_OPENS,1.1139433523068367
0,1.534424026978641,POSIX_READS,1.7993405494535817
0,1.534424026978641,POSIX_RW_SWITCHES,0.0
0,1.534424026978641,POSIX_SEEKS,0.0
0,1.534424026978641,POSIX_SEQ_READS,1.4913616938342726
0,1.534424026978641,POSIX_SEQ_WRITES,0.0
0,1.534424026978641,POSIX_SIZE_READ_0_100,1.568201724066995
0,1.534424026978641,POSIX_SIZE_READ_100K_1M,0.4771212547196624
0,1.534424026978641,POSIX_SIZE_READ_100_1K,1.3617278360175928
0,1.534424026978641,POSIX_SIZE_READ_1K_10K,0.4771212547196624
0,1.534424026978641,POSIX_SIZE_WRITE_0_100,0.0
0,1.534424026978641,POSIX_SIZE_WRITE_100K_1M,0.0
0,1.534424026978641,POSIX_SIZE_WRITE_100_1K,0.0
0,1.534424026978641,POSIX_SIZE_WRITE_10K_100K,0.0
0,1.534424026978641,POSIX_SIZE_WRITE_1K_10K,0.0
0,1.534424026978641,POSIX_STATS,1.3979400086720375
0,1.534424026978641,POSIX_STRIDE1_COUNT,0.6989700043360189
0,1.534424026978641,POSIX_STRIDE1_STRIDE,2.5943925503754266
0,1.534424026978641,POSIX_STRIDE2_COUNT,0.6989700043360189
0,1.534424026978641,POSIX_STRIDE2_STRIDE,1.9084850188786495
0,1.534424026978641,POSIX_STRIDE3_COUNT,0.4771212547196624
0,1.534424026978641,POSIX_STRIDE3_STRIDE,2.806858029518817
0,1.534424026978641,POSIX_STRIDE4_COUNT,0.4771212547196624
0,1.534424026978641,POSIX_STRIDE4_STRIDE,1.9493900066449128
0,1.534424026978641,POSIX_WRITES,0.0
0,1.534424026978641,nprocs,0.8450980400142568
1,1.8168865864198585,LUSTRE_STRIPE_SIZE,6.020600327454919
1,1.8168865864198585,LUSTRE_STRIPE_WIDTH,0.3010299956639812
1,1.8168865864198585,POSIX_ACCESS1_ACCESS,0.3010299956639812
1,1.8168865864198585,POSIX_ACCESS1_COUNT,3.377306251068199
1,1.8168865864198585,POSIX_ACCESS2_ACCESS,3.913442954859396
1,1.8168865864198585,POSIX_ACCESS2_COUNT,3.1550322287909704
1,1.8168865864198585,POSIX_ACCESS3_ACCESS,3.9108377649926833
1,1.8168865864198585,POSIX_ACCESS3_COUNT,2.678518379040114
1,1.8168865864198585,POSIX_ACCESS4_ACCESS,3.9099302597528314
1,1.8168865864198585,POSIX_ACCESS4_COUNT,2.9469432706978256
1,1.8168865864198585,POSIX_BYTES_READ,8.494775170656313
1,1.8168865864198585,POSIX_BYTES_WRITTEN,4.311308746000808
1,1.8168865864198585,POSIX_CONSEC_READS,4.456533037354098
1,1.8168865864198585,POSIX_CONSEC_WRITES,2.661812685537261
1,1.8168865864198585,POSIX_FILENOS,33996.0
1,1.8168865864198585,POSIX_MEM_ALIGNMENT,0.9542425094393248
1,1.8168865864198585,POSIX_FILE_ALIGNMENT,6.020600327454919
1,1.8168865864198585,POSIX_FILE_NOT_ALIGNED,4.4212747912103465
1,1.8168865864198585,POSIX_MEM_NOT_ALIGNED,4.435621430374859
1,1.8168865864198585,POSIX_OPENS,4.546912643181242
1,1.8168865864198585,POSIX_READS,4.474958884450562
1,1.8168865864198585,POSIX_RW_SWITCHES,0.3010299956639812
1,1.8168865864198585,POSIX_SEEKS,3.5073160400764136
1,1.8168865864198585,POSIX_SEQ_READS,4.456548216372393
1,1.8168865864198585,POSIX_SEQ_WRITES,2.661812685537261
1,1.8168865864198585,POSIX_SIZE_READ_0_100,3.4665710723863543
1,1.8168865864198585,POSIX_SIZE_READ_100K_1M,2.632457292184724
1,1.8168865864198585,POSIX_SIZE_READ_100_1K,2.6963563887333324
1,1.8168865864198585,POSIX_SIZE_READ_1K_10K,4.414973347970818
1,1.8168865864198585,POSIX_SIZE_WRITE_0_100,2.661812685537261
1,1.8168865864198585,POSIX_SIZE_WRITE_100K_1M,0.0
1,1.8168865864198585,POSIX_SIZE_WRITE_100_1K,0.4771212547196624
1,1.8168865864198585,POSIX_SIZE_WRITE_10K_100K,0.0
1,1.8168865864198585,POSIX_SIZE_WRITE_1K_10K,0.0
1,1.8168865864198585,POSIX_STATS,3.115277591395901
1,1.8168865864198585,POSIX_STRIDE1_COUNT,0.3010299956639812
1,1.8168865864198585,POSIX_STRIDE1_STRIDE,9.264011947863736
1,1.8168865864198585,POSIX_STRIDE2_COUNT,0.0
1,1.8168865864198585,POSIX_STRIDE2_STRIDE,0.0
1,1.8168865864198585,POSIX_STRIDE3_COUNT,0.0
1,1.8168865864198585,POSIX_STRIDE3_STRIDE,0.0
1,1.8168865864198585,POSIX_STRIDE4_COUNT,0.0
1,1.8168865864198585,POSIX_STRIDE4_STRIDE,0.0
1,1.8168865864198585,POSIX_WRITES,2.663700925389648
1,1.8168865864198585,nprocs,1.8388490907372552
